IS_OBSERVED,SOURCE,TARGET,TYPE,EVENT_INTERVAL_ID,EVENT,INTEGER_TIME,TIME_POINT,TIME_UNIT,EVENT_INTERVAL,num.actors,individual.activity,dyadic.activity,closure,female,diff.female
1,|MY|NP|MB|,,chapter,1.1.1,109,108,109,108,2,3,0,0,0,1,2
0,|FE|AZ|TH|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|FT|TH|SP|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|BL|TG|SP|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|AZ|PL|BJ|,,,,111,110,111,110,2,3,0,0,0,2,2
0,|FF|LI|GU|,,,,111,110,111,110,2,3,0,0,0,0,0
0,|JA|BZ|BM|,,,,111,110,111,110,2,3,0,0,0,0,0
0,|TM|GR|BM|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|LL|JP|BR|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|TH|DA|NP|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|MO|XA|MP|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|JU|EP|BR|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|MY|BO|FE|,,,,111,110,111,110,2,3,0,0,0,0,0
0,|BS|TG|CM|,,,,111,110,111,110,2,3,0,0,0,0,0
0,|MB|BL|XA|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|DA|AZ|SS|,,,,111,110,111,110,2,3,0,0,0,3,0
0,|PG|GU|XB|,,,,111,110,111,110,2,3,0,0,0,0,0
0,|MM|BS|HL|,,,,111,110,111,110,2,3,0,0,0,1,2
0,|BB|CR|MA|,,,,111,110,111,110,2,3,0,0,0,0,0
0,|GG|PG|CM|,,,,111,110,111,110,2,3,0,0,0,0,0
0,|FV|HL|GT|,,,,111,110,111,110,2,3,0,0,0,2,2
1,|MY|ME|MB|,,chapter,1.1.2,112,111,112,111,3,3,2,1,2,2,2
0,|XB|JU|BJ|,,,,114,113,114,113,3,3,0,0,0,0,0
0,|TG|MN|BA|,,,,114,113,114,113,3,3,0,0,0,1,2
0,|GE|BB|JU|,,,,114,113,114,113,3,3,0,0,0,0,0
0,|MN|CM|LP|,,,,114,113,114,113,3,3,0,0,0,1,2
0,|TG|GP|EP|,,,,114,113,114,113,3,3,0,0,0,1,2
0,|MA|BL|XA|,,,,114,113,114,113,3,3,0,0,0,0,0
0,|FT|GU|DA|,,,,114,113,114,113,3,3,0,0,0,1,2
0,|GI|FF|PG|,,,,114,113,114,113,3,3,0,0,0,0,0
0,|JD|GT|FE|,,,,114,113,114,113,3,3,0,0,0,0,0
0,|TG|BS|TM|,,,,114,113,114,113,3,3,0,0,0,1,2
0,|MT|GA|XA|,,,,114,113,114,113,3,3,0,0,0,1,2
0,|PO|EN|PG|,,,,114,113,114,113,3,3,0,0,0,1,2
0,|FV|BZ|BL|,,,,114,113,114,113,3,3,0,0,0,1,2
0,|ZE|FT|BU|,,,,114,113,114,113,3,3,0,0,0,2,2
0,|CO|SN|CN|,,,,114,113,114,113,3,3,0,0,0,1,2
0,|FN|QU|MY|,,,,114,113,114,113,3,3,1,0,0,1,2
0,|FT|LP|MO|,,,,114,113,114,113,3,3,0,0,0,0,0
0,|JD|CO|MN|,,,,114,113,114,113,3,3,0,0,0,2,2
0,|JP|BL|CC|,,,,114,113,114,113,3,3,0,0,0,0,0
0,|LI|MY|BZ|,,,,114,113,114,113,3,3,1,0,0,0,0
1,|MY|,,chapter,1.1.3,115,114,115,114,4,1,2,0,0,0,0
0,|MP|,,,,115,114,115,114,4,1,0,0,0,1,0
0,|GU|,,,,115,114,115,114,4,1,0,0,0,0,0
0,|CV|,,,,115,114,115,114,4,1,0,0,0,0,0
0,|MB|,,,,115,114,115,114,4,1,2,0,0,1,0
0,|LP|,,,,115,114,115,114,4,1,0,0,0,0,0
0,|ME|,,,,115,114,115,114,4,1,1,0,0,1,0
0,|MR|,,,,115,114,115,114,4,1,0,0,0,1,0
0,|JV|,,,,115,114,115,114,4,1,0,0,0,0,0
0,|LL|,,,,115,114,115,114,4,1,0,0,0,1,0
0,|LI|,,,,115,114,115,114,4,1,0,0,0,0,0
0,|CH|,,,,115,114,115,114,4,1,0,0,0,0,0
0,|GP|,,,,115,114,115,114,4,1,0,0,0,0,0
0,|AZ|,,,,115,114,115,114,4,1,0,0,0,1,0
0,|BB|,,,,115,114,115,114,4,1,0,0,0,0,0
0,|GT|,,,,115,114,115,114,4,1,0,0,0,0,0
0,|GR|,,,,115,114,115,114,4,1,0,0,0,0,0
0,|ZE|,,,,115,114,115,114,4,1,0,0,0,1,0
0,|MG|,,,,115,114,115,114,4,1,0,0,0,1,0
0,|SN|,,,,115,114,115,114,4,1,0,0,0,0,0
0,|CC|,,,,115,114,115,114,4,1,0,0,0,0,0
1,|MY|ME|CL|GE|MC|MB|,,chapter,1.1.4,116,115,116,115,5,6,6,4,8,3,9
0,|QU|CO|JL|XA|CV|JO|,,,,121,120,121,120,5,6,0,0,0,1,5
0,|DA|MI|MV|FF|CV|MB|,,,,121,120,121,120,5,6,2,0,0,4,8
0,|MI|MP|SP|GA|MT|EP|,,,,121,120,121,120,5,6,0,0,0,5,5
0,|CH|JA|BT|JP|MP|FE|,,,,121,120,121,120,5,6,0,0,0,2,8
0,|DA|JL|SC|GU|LL|PL|,,,,121,120,121,120,5,6,0,0,0,3,9
0,|CO|CL|GP|DA|TG|MT|,,,,121,120,121,120,5,6,0,0,0,4,8
0,|GT|BO|XB|DA|BZ|SC|,,,,121,120,121,120,5,6,0,0,0,1,5
0,|MV|BA|GA|MY|CN|GU|,,,,121,120,121,120,5,6,3,0,0,1,5
0,|ME|GT|LI|LP|CL|SS|,,,,121,120,121,120,5,6,1,0,0,3,9
0,|CR|FN|TS|ZE|MN|MC|,,,,121,120,121,120,5,6,0,0,0,4,8
0,|FF|CH|LP|JO|FA|MA|,,,,121,120,121,120,5,6,0,0,0,0,0
0,|MI|BJ|HL|MB|LI|DA|,,,,121,120,121,120,5,6,2,0,0,4,8
0,|TS|EP|JO|JU|TG|FV|,,,,121,120,121,120,5,6,0,0,0,3,9
0,|FE|SC|BJ|XB|MA|GU|,,,,121,120,121,120,5,6,0,0,0,0,0
0,|MB|SN|LP|EP|JV|MY|,,,,121,120,121,120,5,6,5,2,4,2,8
0,|AZ|CL|BS|JU|ME|PL|,,,,121,120,121,120,5,6,1,0,0,4,8
0,|TM|QU|ME|CH|CO|BB|,,,,121,120,121,120,5,6,1,0,0,3,9
0,|JV|GI|PL|BO|MT|DA|,,,,121,120,121,120,5,6,0,0,0,3,9
0,|MP|JA|JL|CR|LP|AZ|,,,,121,120,121,120,5,6,0,0,0,2,8
0,|PL|XB|CH|BU|FF|MB|,,,,121,120,121,120,5,6,2,0,0,3,9
1,|MY|MB|ME|,,chapter,1.1.5,122,121,122,121,6,3,9,7,32,2,2
0,|JO|BS|SC|,,,,124,123,124,123,6,3,0,0,0,0,0
0,|MP|ZE|BL|,,,,124,123,124,123,6,3,0,0,0,2,2
0,|JD|BA|XA|,,,,124,123,124,123,6,3,0,0,0,0,0
0,|HL|CL|QU|,,,,124,123,124,123,6,3,1,0,0,2,2
0,|CO|GE|MN|,,,,124,123,124,123,6,3,1,0,0,2,2
0,|NP|MG|PG|,,,,124,123,124,123,6,3,1,0,0,1,2
0,|CM|MC|CC|,,,,124,123,124,123,6,3,1,0,0,0,0
0,|TG|CH|GR|,,,,124,123,124,123,6,3,0,0,0,0,0
0,|JP|MY|GI|,,,,124,123,124,123,6,3,4,0,0,0,0
0,|GG|MM|CN|,,,,124,123,124,123,6,3,0,0,0,0,0
0,|ZE|EN|CC|,,,,124,123,124,123,6,3,0,0,0,1,2
0,|JD|GI|EN|,,,,124,123,124,123,6,3,0,0,0,0,0
0,|BS|MI|XB|,,,,124,123,124,123,6,3,0,0,0,1,2
0,|MI|JD|JO|,,,,124,123,124,123,6,3,0,0,0,1,2
0,|MN|JV|MO|,,,,124,123,124,123,6,3,0,0,0,1,2
0,|MA|ZE|DA|,,,,124,123,124,123,6,3,0,0,0,2,2
0,|ZE|JL|BL|,,,,124,123,124,123,6,3,0,0,0,1,2
0,|CV|TG|CM|,,,,124,123,124,123,6,3,0,0,0,0,0
0,|FV|BR|BL|,,,,124,123,124,123,6,3,0,0,0,1,2
0,|JV|BJ|CH|,,,,124,123,124,123,6,3,0,0,0,0,0
1,|ME|MY|,,chapter,1.1.6,125,124,125,124,7,2,8,3,12,1,1
0,|SN|BT|,,,,126,125,126,125,7,2,0,0,0,1,1
0,|IS|MP|,,,,126,125,126,125,7,2,0,0,0,1,1
0,|FA|SP|,,,,126,125,126,125,7,2,0,0,0,1,1
0,|XA|BL|,,,,126,125,126,125,7,2,0,0,0,0,0
0,|JP|CC|,,,,126,125,126,125,7,2,0,0,0,0,0
0,|IS|BR|,,,,126,125,126,125,7,2,0,0,0,0,0
0,|SS|FV|,,,,126,125,126,125,7,2,0,0,0,2,0
0,|SS|NP|,,,,126,125,126,125,7,2,1,0,0,1,1
0,|FA|CR|,,,,126,125,126,125,7,2,0,0,0,0,0
0,|TG|GA|,,,,126,125,126,125,7,2,0,0,0,0,0
0,|MO|JV|,,,,126,125,126,125,7,2,0,0,0,0,0
0,|MI|JO|,,,,126,125,126,125,7,2,0,0,0,1,1
0,|PL|FF|,,,,126,125,126,125,7,2,0,0,0,1,1
0,|VI|FN|,,,,126,125,126,125,7,2,0,0,0,2,0
0,|SS|CV|,,,,126,125,126,125,7,2,0,0,0,1,1
0,|XB|EP|,,,,126,125,126,125,7,2,0,0,0,1,1
0,|JU|MM|,,,,126,125,126,125,7,2,0,0,0,0,0
0,|MB|SC|,,,,126,125,126,125,7,2,4,0,0,1,1
0,|BO|BU|,,,,126,125,126,125,7,2,0,0,0,1,1
0,|MT|EN|,,,,126,125,126,125,7,2,0,0,0,1,1
1,|MY|CV|MB|ME|,,chapter,1.1.7,127,126,127,126,8,4,14,11,40,2,4
0,|FT|CH|CO|MP|,,,,130,129,130,129,8,4,0,0,0,2,4
0,|JA|PL|JV|FF|,,,,130,129,130,129,8,4,0,0,0,1,3
0,|CC|CL|PG|BM|,,,,130,129,130,129,8,4,1,0,0,1,3
0,|CL|FF|FA|DA|,,,,130,129,130,129,8,4,1,0,0,2,4
0,|SC|CN|PO|MT|,,,,130,129,130,129,8,4,0,0,0,2,4
0,|SN|SP|MB|BL|,,,,130,129,130,129,8,4,4,0,0,2,4
0,|CM|TS|GR|MC|,,,,130,129,130,129,8,4,1,0,0,1,3
0,|GP|CR|PO|BO|,,,,130,129,130,129,8,4,0,0,0,1,3
0,|JO|IS|MO|QU|,,,,130,129,130,129,8,4,0,0,0,0,0
0,|FT|MB|BJ|EN|,,,,130,129,130,129,8,4,4,0,0,1,3
0,|BB|NP|TS|BJ|,,,,130,129,130,129,8,4,1,0,0,1,3
0,|MC|LI|MV|BT|,,,,130,129,130,129,8,4,1,0,0,2,4
0,|IS|GE|SN|MP|,,,,130,129,130,129,8,4,1,0,0,1,3
0,|PG|MM|PL|GI|,,,,130,129,130,129,8,4,0,0,0,1,3
0,|TG|JD|BO|TM|,,,,130,129,130,129,8,4,0,0,0,1,3
0,|JV|JD|PO|BU|,,,,130,129,130,129,8,4,0,0,0,2,4
0,|JO|ZE|HL|PG|,,,,130,129,130,129,8,4,0,0,0,2,4
0,|EN|FF|MI|GG|,,,,130,129,130,129,8,4,0,0,0,1,3
0,|BU|CC|TM|SS|,,,,130,129,130,129,8,4,0,0,0,3,3
0,|EN|BO|XB|FF|,,,,130,129,130,129,8,4,0,0,0,0,0
1,|SN|MY|,,chapter,1.1.8,131,130,131,130,9,2,7,0,0,0,0
0,|JO|IS|,,,,132,131,132,131,9,2,0,0,0,0,0
0,|PL|EN|,,,,132,131,132,131,9,2,0,0,0,1,1
0,|PO|MP|,,,,132,131,132,131,9,2,0,0,0,2,0
0,|SS|CR|,,,,132,131,132,131,9,2,0,0,0,1,1
0,|MT|MC|,,,,132,131,132,131,9,2,1,0,0,1,1
0,|MR|QU|,,,,132,131,132,131,9,2,0,0,0,1,1
0,|BA|CN|,,,,132,131,132,131,9,2,0,0,0,0,0
0,|BS|MM|,,,,132,131,132,131,9,2,0,0,0,0,0
0,|LP|LL|,,,,132,131,132,131,9,2,0,0,0,1,1
0,|PL|BT|,,,,132,131,132,131,9,2,0,0,0,2,0
0,|CR|EN|,,,,132,131,132,131,9,2,0,0,0,0,0
0,|MB|PL|,,,,132,131,132,131,9,2,5,0,0,2,0
0,|AZ|BT|,,,,132,131,132,131,9,2,0,0,0,2,0
0,|EN|ZE|,,,,132,131,132,131,9,2,0,0,0,1,1
0,|JL|MB|,,,,132,131,132,131,9,2,5,0,0,1,1
0,|MG|BZ|,,,,132,131,132,131,9,2,0,0,0,1,1
0,|BS|DA|,,,,132,131,132,131,9,2,0,0,0,1,1
0,|FF|BB|,,,,132,131,132,131,9,2,0,0,0,0,0
0,|PO|GI|,,,,132,131,132,131,9,2,0,0,0,1,1
0,|BR|XA|,,,,132,131,132,131,9,2,0,0,0,0,0
1,|MB|,,chapter,1.1.9,133,132,133,132,10,1,5,0,0,1,0
0,|BB|,,,,133,132,133,132,10,1,0,0,0,0,0
0,|CH|,,,,133,132,133,132,10,1,0,0,0,0,0
0,|TG|,,,,133,132,133,132,10,1,0,0,0,0,0
0,|PG|,,,,133,132,133,132,10,1,0,0,0,0,0
0,|MN|,,,,133,132,133,132,10,1,0,0,0,1,0
0,|PO|,,,,133,132,133,132,10,1,0,0,0,1,0
0,|BO|,,,,133,132,133,132,10,1,0,0,0,0,0
0,|BT|,,,,133,132,133,132,10,1,0,0,0,1,0
0,|PL|,,,,133,132,133,132,10,1,0,0,0,1,0
0,|MT|,,,,133,132,133,132,10,1,0,0,0,1,0
0,|JP|,,,,133,132,133,132,10,1,0,0,0,0,0
0,|BJ|,,,,133,132,133,132,10,1,0,0,0,0,0
0,|CO|,,,,133,132,133,132,10,1,0,0,0,1,0
0,|BL|,,,,133,132,133,132,10,1,0,0,0,0,0
0,|LP|,,,,133,132,133,132,10,1,0,0,0,0,0
0,|NP|,,,,133,132,133,132,10,1,1,0,0,0,0
0,|MI|,,,,133,132,133,132,10,1,0,0,0,1,0
0,|DA|,,,,133,132,133,132,10,1,0,0,0,1,0
0,|FE|,,,,133,132,133,132,10,1,0,0,0,0,0
0,|EP|,,,,133,132,133,132,10,1,0,0,0,1,0
1,|MY|GG|,,chapter,1.1.10,134,133,134,133,11,2,8,0,0,0,0
0,|JP|BS|,,,,135,134,135,134,11,2,0,0,0,0,0
0,|MB|JA|,,,,135,134,135,134,11,2,6,0,0,1,1
0,|CO|JL|,,,,135,134,135,134,11,2,0,0,0,1,1
0,|CH|GU|,,,,135,134,135,134,11,2,0,0,0,0,0
0,|MY|QU|,,,,135,134,135,134,11,2,8,0,0,0,0
0,|BS|GG|,,,,135,134,135,134,11,2,0,0,0,0,0
0,|MY|XB|,,,,135,134,135,134,11,2,8,0,0,0,0
0,|EN|HL|,,,,135,134,135,134,11,2,0,0,0,1,1
0,|HL|PG|,,,,135,134,135,134,11,2,0,0,0,1,1
0,|SC|BU|,,,,135,134,135,134,11,2,0,0,0,1,1
0,|MO|MV|,,,,135,134,135,134,11,2,0,0,0,1,1
0,|BJ|BS|,,,,135,134,135,134,11,2,0,0,0,0,0
0,|FA|CL|,,,,135,134,135,134,11,2,1,0,0,1,1
0,|MN|GE|,,,,135,134,135,134,11,2,1,0,0,1,1
0,|MG|FT|,,,,135,134,135,134,11,2,0,0,0,1,1
0,|PG|BL|,,,,135,134,135,134,11,2,0,0,0,0,0
0,|BZ|BR|,,,,135,134,135,134,11,2,0,0,0,0,0
0,|JP|CH|,,,,135,134,135,134,11,2,0,0,0,0,0
0,|DA|GR|,,,,135,134,135,134,11,2,0,0,0,1,1
0,|MT|LP|,,,,135,134,135,134,11,2,0,0,0,1,1
1,|MY|,,chapter,1.1.11,136,135,136,135,12,1,9,0,0,0,0
0,|BO|,,,,136,135,136,135,12,1,0,0,0,0,0
0,|MN|,,,,136,135,136,135,12,1,0,0,0,1,0
0,|ME|,,,,136,135,136,135,12,1,5,0,0,1,0
0,|BZ|,,,,136,135,136,135,12,1,0,0,0,0,0
0,|GR|,,,,136,135,136,135,12,1,0,0,0,0,0
0,|CN|,,,,136,135,136,135,12,1,0,0,0,0,0
0,|CV|,,,,136,135,136,135,12,1,1,0,0,0,0
0,|JV|,,,,136,135,136,135,12,1,0,0,0,0,0
0,|LP|,,,,136,135,136,135,12,1,0,0,0,0,0
