IS_OBSERVED,SOURCE,TARGET,TIME,TYPE,EVENT,TIME_POINT,TIME_UNIT,EVENT_INTERVAL,sender_activity,receiver_popularity,repetition,reciprocity,is.ICRs,is.ICRr,closure
1,32,16,2,call,42,3,2,2,0,0,0,1,1,0,0
0,6,33,2,,42,3,2,2,0,0,0,0,0,0,0
1,16,32,3,call,43,4,3,3,1,1,1,1,0,1,0
0,5,22,3,,43,4,3,3,0,0,0,0,0,0,0
1,16,32,4,call,44,5,4,4,2,2,2,1,0,1,0
0,26,21,4,,44,5,4,4,0,0,0,0,0,0,0
1,11,32,5,call,45,6,5,5,0,3,0,0,0,1,0
1,11,32,6,call,46,7,6,6,1,4,1,0,0,1,0
0,23,37,6,,46,7,6,6,0,0,0,0,0,0,0
1,11,32,7,call,47,8,7,7,2,5,2,0,0,1,0
0,20,10,7,,47,8,7,7,0,0,0,0,0,0,0
1,36,32,8,call,48,9,8,8,0,6,0,0,0,1,0
0,15,22,8,,48,9,8,8,0,0,0,0,0,0,0
1,8,32,9,call,49,10,9,9,0,7,0,0,0,1,0
0,11,15,9,,49,10,9,9,3,0,0,0,0,0,0
1,8,32,10,call,50,11,10,10,1,8,1,0,0,1,0
0,9,21,10,,50,11,10,10,0,0,0,0,0,0,0
1,32,8,11,call,51,12,11,11,1,0,0,2,1,0,0
0,31,6,11,,51,12,11,11,0,0,0,0,0,0,0
1,16,32,12,call,52,13,12,12,3,9,3,1,0,1,0
0,9,8,12,,52,13,12,12,0,1,0,0,0,0,0
1,8,32,13,call,53,14,13,13,2,10,2,1,0,1,0
0,11,1,13,,53,14,13,13,3,0,0,0,0,0,0
1,26,32,14,call,54,15,14,14,0,11,0,0,0,1,0
0,16,8,14,,54,15,14,14,4,1,0,0,0,0,12
1,32,26,15,call,55,16,15,15,2,0,0,1,1,0,0
0,35,32,15,,55,16,15,15,0,12,0,0,0,1,0
1,26,32,16,call,56,17,16,16,1,12,1,1,0,1,0
0,35,24,16,,56,17,16,16,0,0,0,0,0,0,0
1,32,26,17,call,57,18,17,17,3,1,1,2,1,0,0
0,17,28,17,,57,18,17,17,0,0,0,0,0,0,0
1,26,32,18,call,58,19,18,18,2,13,2,2,0,1,0
0,22,19,18,,58,19,18,18,0,0,0,0,0,0,0
1,32,26,19,call,59,20,19,19,4,2,2,3,1,0,0
0,26,36,19,,59,20,19,19,3,0,0,0,0,0,3
1,16,32,20,call,60,21,20,20,4,14,4,1,0,1,0
0,33,37,20,,60,21,20,20,0,0,0,0,0,0,0
1,16,32,21,call,61,22,21,21,5,15,5,1,0,1,0
0,3,22,21,,61,22,21,21,0,0,0,0,0,0,0
1,27,32,22,call,62,23,22,22,0,16,0,0,0,1,0
0,35,31,22,,62,23,22,22,0,0,0,0,0,0,0
1,20,32,23,call,63,24,23,23,0,17,0,0,0,1,0
0,2,19,23,,63,24,23,23,0,0,0,0,0,0,0
1,32,20,24,call,64,25,24,24,5,0,0,1,1,0,0
0,31,18,24,,64,25,24,24,0,0,0,0,0,0,0
1,20,32,25,call,65,26,25,25,1,18,1,1,0,1,0
0,4,21,25,,65,26,25,25,0,0,0,0,0,0,0
1,32,20,26,call,66,27,26,26,6,1,1,2,1,0,0
0,1,19,26,,66,27,26,26,0,0,0,0,0,0,0
1,32,16,27,call,67,28,27,27,7,1,1,6,1,0,0
0,27,20,27,,67,28,27,27,1,2,0,0,0,0,2
1,16,32,28,call,68,29,28,28,6,19,6,2,0,1,0
0,18,16,28,,68,29,28,28,0,2,0,0,0,0,0
1,32,16,29,call,69,30,29,29,8,2,2,7,1,0,0
0,27,2,29,,69,30,29,29,1,0,0,0,0,0,0
1,32,16,30,call,70,31,30,30,9,3,3,7,1,0,0
0,12,9,30,,70,31,30,30,0,0,0,0,0,0,0
1,16,32,31,call,71,32,31,31,7,20,7,4,0,1,0
0,13,22,31,,71,32,31,31,0,0,0,0,1,0,0
1,32,22,32,call,72,33,32,32,10,0,0,0,1,0,0
0,22,18,32,,72,33,32,32,0,0,0,0,0,0,0
1,3,32,33,call,73,34,33,33,0,21,0,0,0,1,0
0,24,13,33,,73,34,33,33,0,0,0,0,0,1,0
1,32,3,34,call,74,35,34,34,11,0,0,1,1,0,0
0,20,35,34,,74,35,34,34,2,0,0,0,0,0,0
1,3,32,35,call,75,36,35,35,1,22,1,1,0,1,0
0,13,25,35,,75,36,35,35,0,0,0,0,1,0,0
1,32,3,36,call,76,37,36,36,12,1,1,2,1,0,0
0,32,13,36,,76,37,36,36,12,0,0,0,1,1,0
1,32,16,37,call,77,38,37,37,13,4,4,8,1,0,0
0,27,12,37,,77,38,37,37,1,0,0,0,0,0,0
1,16,32,38,call,78,39,38,38,8,23,8,5,0,1,0
0,25,37,38,,78,39,38,38,0,0,0,0,0,0,0
1,32,16,39,call,79,40,39,39,14,5,5,9,1,0,0
0,12,36,39,,79,40,39,39,0,0,0,0,0,0,0
1,3,32,40,call,80,41,40,40,2,24,2,2,0,1,0
0,37,18,40,,80,41,40,40,0,0,0,0,0,0,0
1,3,32,41,call,81,42,41,41,3,25,3,2,0,1,0
0,37,22,41,,81,42,41,41,0,1,0,0,0,0,0
1,32,3,42,call,82,43,42,42,15,2,2,4,1,0,0
0,5,3,42,,82,43,42,42,0,2,0,0,0,0,0
1,3,32,43,call,83,44,43,43,4,26,4,3,0,1,0
0,2,12,43,,83,44,43,43,0,0,0,0,0,0,0
1,16,3,44,call,84,45,44,44,9,3,0,0,0,0,45
0,14,7,44,,84,45,44,44,0,0,0,0,1,0,0
1,16,11,45,call,85,46,45,45,10,0,0,0,0,0,27
0,13,4,45,,85,46,45,45,0,0,0,0,1,0,0
1,11,16,46,call,86,47,46,46,3,6,0,1,0,0,27
0,35,21,46,,86,47,46,46,0,0,0,0,0,0,0
1,16,11,47,call,87,48,47,47,11,1,1,1,0,0,27
0,19,1,47,,87,48,47,47,0,0,0,0,0,0,0
1,11,16,48,call,88,49,48,48,4,7,1,2,0,0,27
0,29,28,48,,88,49,48,48,0,0,0,0,0,0,0
1,16,11,49,call,89,50,49,49,12,2,2,2,0,0,27
0,3,4,49,,89,50,49,49,5,0,0,0,0,0,0
1,11,16,50,call,90,51,50,50,5,8,2,3,0,0,27
0,7,30,50,,90,51,50,50,0,0,0,0,0,0,0
1,24,36,51,call,91,52,51,51,0,0,0,0,0,0,0
0,19,8,51,,91,52,51,51,0,1,0,0,0,0,0
1,24,36,52,call,92,53,52,52,1,1,1,0,0,0,0
0,16,9,52,,92,53,52,52,13,0,0,0,0,0,0
1,15,32,53,call,93,54,53,53,0,27,0,0,0,1,0
0,4,18,53,,93,54,53,53,0,0,0,0,0,0,0
1,32,15,54,call,94,55,54,54,16,0,0,1,1,0,0
0,8,1,54,,94,55,54,54,3,0,0,0,0,0,0
1,15,32,55,call,95,56,55,55,1,28,1,1,0,1,0
1,32,15,56,call,96,57,56,56,17,1,1,2,1,0,0
0,28,2,56,,96,57,56,56,0,0,0,0,0,0,0
1,15,32,57,call,97,58,57,57,2,29,2,2,0,1,0
0,21,19,57,,97,58,57,57,0,0,0,0,0,0,0
1,32,15,58,call,98,59,58,58,18,2,2,3,1,0,0
0,15,10,58,,98,59,58,58,3,0,0,0,0,0,0
1,22,32,59,call,99,60,59,59,0,30,0,1,0,1,0
0,37,9,59,,99,60,59,59,0,0,0,0,0,0,0
1,32,22,60,call,100,61,60,60,19,1,1,1,1,0,0
0,27,11,60,,100,61,60,60,1,3,0,0,0,0,3
1,15,32,61,call,101,62,61,61,3,31,3,3,0,1,0
0,6,21,61,,101,62,61,61,0,0,0,0,0,0,0
1,32,15,62,call,102,63,62,62,20,3,3,4,1,0,0
0,20,3,62,,102,63,62,62,2,4,0,0,0,0,10
1,15,32,63,call,103,64,63,63,4,32,4,4,0,1,0
0,30,3,63,,103,64,63,63,0,4,0,0,0,0,0
1,32,15,64,call,104,65,64,64,21,4,4,5,1,0,0
0,11,21,64,,104,65,64,64,6,0,0,0,0,0,0
1,18,32,65,call,105,66,65,65,0,33,0,0,0,1,0
0,31,32,65,,105,66,65,65,0,33,0,0,0,1,0
1,32,18,66,call,106,67,66,66,22,0,0,1,1,0,0
0,26,27,66,,106,67,66,66,3,0,0,0,0,0,3
1,18,32,67,call,107,68,67,67,1,34,1,1,0,1,0
0,4,20,67,,107,68,67,67,0,2,0,0,0,0,0
1,19,32,68,call,108,69,68,68,0,35,0,0,0,1,0
1,32,19,69,call,109,70,69,69,23,0,0,1,1,0,0
0,19,14,69,,109,70,69,69,1,0,0,0,0,1,0
1,19,32,70,call,110,71,70,70,1,36,1,1,0,1,0
